RecordID,Date,StateID,SectorID,SourceID,Consumption_kWh
1,2022-01-01,1,1,2,32040.27
2,2022-01-01,2,1,1,63144.33
3,2022-01-01,1,1,1,29677.42
4,2022-01-01,1,1,2,29839.66
5,2022-01-01,3,1,1,72832.55
6,2022-01-01,3,2,1,29378.24
7,2022-01-01,3,1,1,44193.46
8,2022-01-01,3,2,2,82641.54
9,2022-02-01,4,1,2,17092.02
10,2022-02-01,3,2,1,73411.47
11,2022-02-01,1,1,2,98669.94
12,2022-02-01,2,1,2,35017.62
13,2022-02-01,3,1,2,41974.36
14,2022-02-01,3,1,1,58072.59
15,2022-02-01,2,1,2,44150.99
16,2022-02-01,2,2,1,30614.33
17,2022-03-01,1,2,2,34096.68
18,2022-03-01,2,2,1,68989.48
19,2022-03-01,4,2,1,33839.21
20,2022-03-01,2,2,2,90804.06
21,2022-03-01,4,2,1,99759.32
22,2022-03-01,2,2,1,78020.39
23,2022-03-01,1,1,1,81287.14
24,2022-03-01,4,1,2,44345.74
25,2022-04-01,4,2,1,71225.51
26,2022-04-01,1,2,2,20039.7
27,2022-04-01,4,1,2,10292.08
28,2022-04-01,3,1,1,88346.67
29,2022-04-01,3,1,1,43652.25
30,2022-04-01,2,1,2,53974.51
31,2022-04-01,1,2,2,31550.71
32,2022-04-01,2,1,1,75871.68
33,2022-05-01,1,1,1,69377.57
34,2022-05-01,2,2,2,96792.66
35,2022-05-01,2,2,2,99563.44
36,2022-05-01,3,2,2,20890.38
37,2022-05-01,2,1,2,11893.08
38,2022-05-01,2,1,1,16389.38
39,2022-05-01,1,1,1,91487.8
40,2022-05-01,3,1,1,35062.95
41,2022-06-01,4,1,1,75101.73
42,2022-06-01,4,1,2,82674.73
43,2022-06-01,2,1,1,69308.45
44,2022-06-01,3,2,2,52032.22
45,2022-06-01,1,1,1,46235.92
46,2022-06-01,3,1,1,27243.11
47,2022-06-01,4,1,2,26513.92
48,2022-06-01,4,1,1,49881.77
49,2022-07-01,1,1,1,97209.66
50,2022-07-01,2,1,2,53707.7
51,2022-07-01,2,2,1,24817.34
52,2022-07-01,1,2,2,93386.63
53,2022-07-01,4,2,2,72693.24
54,2022-07-01,4,1,1,36703.7
55,2022-07-01,1,1,2,15144.87
56,2022-07-01,4,1,1,96470.1
57,2022-08-01,1,1,1,63553.16
58,2022-08-01,2,2,1,94743.65
59,2022-08-01,2,1,1,47730.24
60,2022-08-01,3,2,1,70275.34
61,2022-08-01,3,1,2,45620.73
62,2022-08-01,3,2,2,93611.65
63,2022-08-01,1,1,2,65904.33
64,2022-08-01,1,1,1,55529.62
65,2022-09-01,2,2,1,89134.32
66,2022-09-01,3,2,1,49436.61
67,2022-09-01,3,1,2,93858.04
68,2022-09-01,1,1,2,20388.58
69,2022-09-01,1,1,2,35358.06
70,2022-09-01,2,2,1,71874.74
71,2022-09-01,3,2,2,91480.28
72,2022-09-01,1,1,2,84641.33
73,2022-10-01,1,1,2,79400.73
74,2022-10-01,3,1,2,59651.24
75,2022-10-01,4,1,1,16771.95
76,2022-10-01,2,1,2,62425.86
77,2022-10-01,2,2,1,13764.6
78,2022-10-01,3,1,2,28906.89
79,2022-10-01,2,1,2,80210.46
80,2022-10-01,4,1,1,87814.51
81,2022-11-01,2,2,1,26142.46
82,2022-11-01,3,2,1,34012.51
83,2022-11-01,1,2,1,87273.39
84,2022-11-01,2,1,2,41469.26
85,2022-11-01,2,1,1,69402.99
86,2022-11-01,4,2,2,87791.76
87,2022-11-01,3,2,2,71156.63
88,2022-11-01,3,1,1,88933.46
89,2022-12-01,3,1,2,13443.15
90,2022-12-01,4,2,2,49275.45
91,2022-12-01,1,2,1,32925.03
92,2022-12-01,4,1,1,42779.93
93,2022-12-01,1,2,2,69704.87
94,2022-12-01,1,2,2,70020.36
95,2022-12-01,3,2,2,59897.12
96,2022-12-01,2,2,2,70958.62
97,2023-01-01,2,2,2,59314.35
98,2023-01-01,1,2,2,28916.44
99,2023-01-01,3,2,2,49794.38
100,2023-01-01,2,2,1,69296.57
101,2023-01-01,3,2,1,83658.11
102,2023-01-01,2,2,1,82590.66
103,2023-01-01,2,1,1,32035.83
104,2023-01-01,4,1,2,47299.69
105,2023-02-01,2,2,2,45968.76
106,2023-02-01,2,1,1,80057.84
107,2023-02-01,2,1,2,14519.65
108,2023-02-01,2,1,2,22000.52
109,2023-02-01,4,2,2,65138.71
110,2023-02-01,4,2,1,76928.99
111,2023-02-01,4,2,2,77659.91
112,2023-02-01,3,2,1,34713.77
113,2023-03-01,1,2,1,34454.36
114,2023-03-01,3,1,1,23574.76
115,2023-03-01,4,1,1,15780.6
116,2023-03-01,4,2,2,47419.68
117,2023-03-01,2,2,2,91435.46
118,2023-03-01,1,2,2,10530.65
119,2023-03-01,3,2,2,86810.32
120,2023-03-01,4,1,2,29747.95
121,2023-04-01,4,2,1,44997.15
122,2023-04-01,4,1,2,92758.75
123,2023-04-01,1,2,1,17555.27
124,2023-04-01,4,1,2,26355.61
125,2023-04-01,3,2,2,29049.43
126,2023-04-01,3,2,2,35043.1
127,2023-04-01,4,2,1,52327.62
128,2023-04-01,1,2,1,68512.97
129,2023-05-01,1,1,1,27942.46
130,2023-05-01,1,1,1,21359.89
131,2023-05-01,1,1,2,72951.85
132,2023-05-01,3,1,1,80001.27
133,2023-05-01,2,2,1,62081.63
134,2023-05-01,3,2,2,94732.35
135,2023-05-01,2,1,1,19171.12
136,2023-05-01,3,1,1,41248.34
137,2023-06-01,4,2,1,55536.47
138,2023-06-01,3,1,2,84009.78
139,2023-06-01,1,2,2,67202.66
140,2023-06-01,4,1,2,25852.33
141,2023-06-01,3,2,2,49201.7
142,2023-06-01,3,2,1,84765.79
143,2023-06-01,1,2,2,31947.71
144,2023-06-01,4,2,2,12583.0
145,2023-07-01,3,1,2,29090.79
146,2023-07-01,3,2,2,89228.8
147,2023-07-01,3,1,1,17705.17
148,2023-07-01,4,2,1,72154.84
149,2023-07-01,4,2,1,18374.8
150,2023-07-01,2,2,1,37558.54
151,2023-07-01,3,2,2,48295.34
152,2023-07-01,3,2,2,34382.48
153,2023-08-01,3,1,1,74915.59
154,2023-08-01,3,1,1,27238.69
155,2023-08-01,4,2,2,98245.96
156,2023-08-01,2,2,1,42479.3
157,2023-08-01,3,1,1,34688.02
158,2023-08-01,1,2,1,67408.27
159,2023-08-01,4,1,1,61665.78
160,2023-08-01,4,2,2,40663.53
161,2023-09-01,1,2,2,20267.84
162,2023-09-01,1,2,2,16667.4
163,2023-09-01,1,1,1,83002.79
164,2023-09-01,3,1,1,20660.64
165,2023-09-01,4,1,2,50546.3
166,2023-09-01,4,2,2,37484.22
167,2023-09-01,1,1,1,66296.35
168,2023-09-01,3,1,1,31587.87
169,2023-10-01,1,1,1,46766.58
170,2023-10-01,4,2,1,30832.86
171,2023-10-01,3,2,1,71864.64
172,2023-10-01,3,1,2,20329.87
173,2023-10-01,2,1,2,84396.8
174,2023-10-01,1,1,1,81336.57
175,2023-10-01,3,2,1,52182.82
176,2023-10-01,3,2,2,55042.5
177,2023-11-01,4,2,1,63823.3
178,2023-11-01,4,2,2,12327.84
179,2023-11-01,2,1,2,61862.23
180,2023-11-01,2,2,2,92446.55
181,2023-11-01,2,2,2,97214.97
182,2023-11-01,4,2,2,39997.76
183,2023-11-01,1,1,2,47048.06
184,2023-11-01,4,2,2,83220.94
185,2023-12-01,1,2,1,38306.54
186,2023-12-01,3,1,2,87841.95
187,2023-12-01,1,2,2,14878.37
188,2023-12-01,3,2,2,78399.15
189,2023-12-01,2,2,1,93490.55
190,2023-12-01,4,2,1,12598.25
191,2023-12-01,2,1,2,59575.51
192,2023-12-01,4,1,1,99303.14
193,2024-01-01,1,2,1,68293.87
194,2024-01-01,2,2,2,55798.48
195,2024-01-01,3,2,2,98222.02
196,2024-01-01,2,2,1,44522.74
197,2024-01-01,2,1,2,79540.76
198,2024-01-01,4,2,2,83849.45
199,2024-01-01,3,2,2,87873.45
200,2024-01-01,4,2,2,39919.6
201,2024-02-01,4,2,2,88264.15
202,2024-02-01,2,2,1,87041.17
203,2024-02-01,4,1,2,77023.46
204,2024-02-01,4,2,1,54579.58
205,2024-02-01,1,1,2,88273.03
206,2024-02-01,4,1,2,11381.28
207,2024-02-01,2,2,1,16734.54
208,2024-02-01,3,2,2,68485.3
209,2024-03-01,3,2,2,66411.93
210,2024-03-01,4,1,1,31129.32
211,2024-03-01,3,1,1,49057.43
212,2024-03-01,1,1,2,24972.83
